team,elo,matches,points_avg_5,gf_avg_5,ga_avg_5,gd_avg_5,last_date
Argentina,2126.07,1073,3.0,2.8,0.6,2.2,2026-07-03
Spain,2124.754,787,2.6,2.2,0.2,2.0,2026-07-02
France,2105.481,940,3.0,2.8,0.4,2.4,2026-07-04
England,2053.167,1095,2.6,2.2,1.0,1.2,2026-07-05
Portugal,2007.162,699,2.2,2.0,0.6,1.4,2026-07-02
Colombia,2000.615,642,2.6,1.4,0.2,1.2,2026-07-03
Morocco,1995.137,622,2.2,2.0,0.8,1.2,2026-07-04
Norway,1992.449,877,2.4,2.4,1.6,0.8,2026-07-05
Brazil,1987.998,1064,2.0,1.8,0.8,1.0,2026-07-05
Netherlands,1967.409,883,2.2,2.6,1.2,1.4,2026-06-29
Mexico,1956.64,1008,2.4,2.0,0.6,1.4,2026-07-05
Germany,1951.358,1035,2.0,2.6,1.2,1.4,2026-06-29
Switzerland,1948.283,888,2.2,2.0,0.8,1.2,2026-07-02
Ecuador,1929.289,595,1.4,1.0,0.8,0.2,2026-06-30
Turkey,1922.805,645,1.8,1.8,1.2,0.6,2026-06-25
Belgium,1921.28,857,2.2,2.8,0.8,2.0,2026-07-01
Japan,1915.027,794,1.6,1.8,1.0,0.8,2026-06-29
Italy,1900.891,893,2.0,1.2,1.0,0.2,2026-06-07
Croatia,1900.564,400,1.8,1.6,1.6,0.0,2026-07-02
Paraguay,1886.317,788,1.0,0.6,1.2,-0.6,2026-07-04
Denmark,1872.08,874,1.6,2.0,1.4,0.6,2026-06-07
Uruguay,1858.312,973,0.8,0.8,1.0,-0.2,2026-06-26
Australia,1857.714,585,1.2,0.8,0.8,0.0,2026-07-03
Austria,1846.332,864,1.4,1.4,1.8,-0.4,2026-07-02
Algeria,1843.183,621,1.4,1.8,1.8,0.0,2026-07-02
United States,1839.376,794,1.8,2.2,1.2,1.0,2026-07-01
Iran,1831.8,615,1.8,1.6,0.8,0.8,2026-06-26
Nigeria,1830.922,661,1.6,2.0,1.2,0.8,2026-06-10
Senegal,1823.519,642,0.8,2.0,1.8,0.2,2026-07-01
Egypt,1820.977,760,1.2,1.4,1.2,0.2,2026-07-03
Yugoslavia,1814.213,483,1.2,1.6,1.8,-0.2,1992-03-25
Ivory Coast,1813.445,640,1.8,1.4,1.0,0.4,2026-06-30
Ukraine,1812.863,338,1.8,1.4,1.0,0.4,2026-06-07
Canada,1809.516,474,1.4,1.8,1.2,0.6,2026-07-04
Russia,1805.404,749,2.0,1.8,0.4,1.4,2026-06-09
South Korea,1801.699,1010,1.8,1.6,0.6,1.0,2026-06-24
Basque Country,1798.841,64,2.2,2.0,0.8,1.2,2025-11-15
Scotland,1790.093,854,1.8,1.8,1.0,0.8,2026-06-24
Venezuela,1786.436,460,1.4,1.4,1.0,0.4,2026-06-09
Chile,1771.684,835,1.8,2.0,2.0,0.0,2026-06-09
Kosovo,1771.239,104,1.4,1.8,1.4,0.4,2026-06-07
Jersey,1769.788,235,2.0,2.8,1.8,1.0,2025-07-18
