group,team
A,Mexico
A,South Africa
A,Korea Republic
A,Czechia/Denmark/North Macedonia/Republic of Ireland
B,Canada
B,Bosnia and Herzegovina/Italy/Northern Ireland/Wales
B,Qatar
B,Switzerland
C,Brazil
C,Morocco
C,Haiti
C,Scotland
D,USA
D,Paraguay
D,Australia
D,Kosovo/Romania/Slovakia/Türkiye
E,Germany
E,Curaçao
E,Côte d'Ivoire
E,Ecuador
F,Netherlands
F,Japan
F,Albania/Poland/Sweden/Ukraine
F,Tunisia
G,Belgium
G,Egypt
G,IR Iran
G,New Zealand
H,Spain
H,Cabo Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Bolivia/Iraq/Suriname
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,Congo DR/Jamaica/New Caledonia
K,Uzbekistan
K,Colombia
L,England
L,Croatia
L,Ghana
L,Panama
